sprint,track,goal,primary_files,depends_on,parallelizable,acceptance
4,mcp-lifecycle,"MCP lifecycle, per-server permissions, health state","src/mcp/registry.ts;src/mcp/client.ts;src/runtime/mcp/*",0,yes,"Server states displayed with reconnect/auth-required semantics"
5,remote-substrate-core,"ACP/daemon transport contracts and reconnect semantics","src/acp/*;src/daemon/server.ts;src/daemon/http-listener.ts;src/runtime/transport/*",3,yes,"Durable task/session identity survives disconnect/reconnect"
5,remote-substrate-observability,"Runtime-linked background introspection + metadata sync","src/runtime/transport/*;src/state/telemetry.ts;src/panels/*",5,yes,"Operator can inspect remote/background runtime state in panels"
6,session-compaction,"Compaction boundary + reactive compact + resume repair","src/core/context-compaction.ts;src/core/conversation.ts;src/sessions/manager.ts;src/main.ts",1,yes,"Prompt-too-long recovers when possible; resume repairs reported"
6,event-contracts,"Domain event maps + emitter wrappers","src/runtime/events/*;src/core/event-bus.ts",0,yes,"No cross-domain string event emissions without wrappers"
7,ux-reinvestment,"Improve differentiated UX surfaces after hardening","src/input/model-picker.ts;src/panels/provider-health-panel.ts;src/panels/wrfc-panel.ts;src/renderer/*",0,yes,"Model/provider/WRFC/panel UX measurably improved with runtime intact"
1,ui-state-contracts,"Rewire UI to selector/intents contract over RuntimeState","src/renderer/*;src/panels/*;src/input/*;src/main.ts",0,yes,"No canonical runtime mutations originate from UI modules"
3,conversation-noise-routing,"Route tool/agent/task/event noise to dedicated panels with summary in main thread","src/panels/*;src/renderer/*;src/runtime/store/*",1,yes,"Main conversation remains high-signal under heavy operational load"
4,diagnostics-panel,"Add event/trace diagnostics panel for runtime introspection","src/panels/*;src/runtime/events/*;src/state/telemetry.ts",1,yes,"Operators can inspect typed event timeline and correlation IDs"
1,otel-foundation,"Initialize OTel tracer/meter and correlation IDs","src/telemetry/otel/*;src/core/orchestrator.ts;src/runtime/events/*",0,yes,"interaction and llm spans emitted with trace/session/turn IDs"
2,otel-lifecycle-instrumentation,"Instrument tool/permission/hook/task/agent lifecycle spans and metrics","src/permissions/manager.ts;src/hooks/dispatcher.ts;src/tools/shared/process-manager.ts;src/tools/agent/index.ts;src/agents/orchestrator.ts",1,yes,"Lifecycle traces and counters available per domain"
3,otel-export-reliability,"Add exporter fail-safe queue + retry store + health metrics","src/telemetry/otel/exporters.ts;src/telemetry/ledger/retry-store.ts;src/config/schema.ts",1,yes,"Exporter outage does not block runtime; dropped events measurable"
4,otel-ux,"Add telemetry diagnostics and health surfaces in panels","src/panels/*;src/state/telemetry.ts;src/renderer/*",1,yes,"Operator can inspect trace timeline and telemetry pipeline status"
2,compatibility-contracts,"Version schemas and migration registry for state/events/sessions/plugins/tasks","src/runtime/store/*;src/runtime/events/*;src/sessions/*;src/plugins/*",0,yes,"Schema versions and migrations validated across one previous version"
2,kill-switches,"Feature flags and runtime kill switches for high-risk refactors","src/config/schema.ts;src/config/manager.ts;src/runtime/*",0,yes,"High-risk tracks can be disabled without restart"
3,contract-tests,"Cross-subsystem contract test suite for events/tool-runtime/permissions/tasks/transport","src/test/*;src/runtime/*;src/permissions/*;src/acp/*;src/daemon/*",1,yes,"Contract tests catch breaking payload/transition changes"
4,chaos-tests,"Fault-injection suite for provider/hooks/mcp/plugin/transport/session failures","src/test/integration/*;src/runtime/*",1,yes,"Runtime remains diagnosable and stable under injected failures"
4,perf-budgets,"Performance budgets and CI regression gates","src/renderer/*;src/runtime/*;src/core/*;scripts/*",1,yes,"CI fails on sustained latency/memory/event throughput regressions"
5,security-review-pack,"Threat model and security regression test packs","docs/*;src/permissions/*;src/tools/exec/*;src/plugins/*;src/daemon/*;src/mcp/*",2,yes,"Security boundary tests and threat model maintained"
6,ops-playbooks,"Operational runbooks and diagnostics commands","docs/*;src/input/commands.ts;src/panels/*",1,yes,"Operators can resolve common runtime failure classes quickly"
